sequence_number,rtt_ms,bytes_received,status
739,0.091,1328,SUCCESS
740,0.088,29,SUCCESS
741,0.093,1328,SUCCESS
742,0.086,29,SUCCESS
743,0.091,1328,SUCCESS
744,0.086,29,SUCCESS
745,0.088,1328,SUCCESS
746,0.093,29,SUCCESS
747,0.091,1328,SUCCESS
748,0.089,29,SUCCESS
749,0.091,1328,SUCCESS
750,0.085,29,SUCCESS
751,0.099,1328,SUCCESS
752,0.086,29,SUCCESS
753,0.094,1328,SUCCESS
754,0.088,29,SUCCESS
755,0.103,1328,SUCCESS
756,0.091,29,SUCCESS
757,0.092,1328,SUCCESS
758,0.083,29,SUCCESS
759,0.091,1328,SUCCESS
760,0.085,29,SUCCESS
761,0.088,1328,SUCCESS
762,0.084,29,SUCCESS
763,0.090,1328,SUCCESS
764,0.083,29,SUCCESS
765,0.089,1328,SUCCESS
766,0.082,29,SUCCESS
767,0.099,1328,SUCCESS
768,0.083,29,SUCCESS
769,0.092,1328,SUCCESS
770,0.084,29,SUCCESS
771,0.088,1328,SUCCESS
772,0.096,29,SUCCESS
773,0.093,1328,SUCCESS
774,0.086,29,SUCCESS
775,0.093,1328,SUCCESS
776,0.091,29,SUCCESS
777,0.101,1328,SUCCESS
778,0.086,29,SUCCESS
779,0.092,1328,SUCCESS
780,0.086,29,SUCCESS
781,0.091,1328,SUCCESS
782,0.086,29,SUCCESS
783,0.094,1328,SUCCESS
784,0.087,29,SUCCESS
785,0.093,1328,SUCCESS
786,0.083,29,SUCCESS
787,0.089,1328,SUCCESS
788,0.084,29,SUCCESS
789,0.091,1328,SUCCESS
790,0.081,29,SUCCESS
791,0.085,1328,SUCCESS
792,0.095,29,SUCCESS
793,0.094,1328,SUCCESS
794,0.087,29,SUCCESS
795,0.092,1328,SUCCESS
796,0.086,29,SUCCESS
797,0.088,1328,SUCCESS
798,0.080,29,SUCCESS
799,0.083,1328,SUCCESS
800,0.073,29,SUCCESS
801,0.083,1328,SUCCESS
802,0.091,29,SUCCESS
803,0.089,1328,SUCCESS
804,0.091,29,SUCCESS
805,0.089,1328,SUCCESS
806,0.081,29,SUCCESS
807,0.088,1328,SUCCESS
808,0.084,29,SUCCESS
809,0.088,1328,SUCCESS
810,0.086,29,SUCCESS
811,0.083,1328,SUCCESS
812,0.075,29,SUCCESS
813,0.080,1328,SUCCESS
814,0.077,29,SUCCESS
815,0.090,1328,SUCCESS
816,0.089,29,SUCCESS
817,0.093,1328,SUCCESS
818,0.088,29,SUCCESS
819,0.092,1328,SUCCESS
820,0.086,29,SUCCESS
821,0.090,1328,SUCCESS
822,0.083,29,SUCCESS
823,0.087,1328,SUCCESS
824,0.085,29,SUCCESS
825,0.088,1328,SUCCESS
826,0.082,29,SUCCESS
827,0.089,1328,SUCCESS
828,0.085,29,SUCCESS
829,0.091,1328,SUCCESS
830,0.087,29,SUCCESS
831,0.092,1328,SUCCESS
832,0.090,29,SUCCESS
833,0.093,1328,SUCCESS
834,0.081,29,SUCCESS
835,0.083,1328,SUCCESS
836,0.092,29,SUCCESS
837,0.088,1328,SUCCESS
838,0.084,29,SUCCESS
839,0.088,1328,SUCCESS
840,0.085,29,SUCCESS
841,0.088,1328,SUCCESS
842,0.092,29,SUCCESS
843,0.090,1328,SUCCESS
844,0.083,29,SUCCESS
845,0.089,1328,SUCCESS
846,0.085,29,SUCCESS
847,0.091,1328,SUCCESS
848,0.091,29,SUCCESS
849,0.091,1328,SUCCESS
850,0.084,29,SUCCESS
851,0.088,1328,SUCCESS
852,0.094,29,SUCCESS
853,0.089,1328,SUCCESS
854,0.077,29,SUCCESS
855,0.084,1328,SUCCESS
856,0.098,29,SUCCESS
